user,ulasan,rating,label,tanggal
Juwairiah Juwairiah,"Aplikasi shopee aku kok gak bisa gunain gratis ongkir 0 rupiah ya,,yang banyak vocer nya malah shopee pay yang gratis ongkir 0 rupiah nya aku gak pernah pakek shopee pay soal nya",1,negatif,06 Maret 2021
Sabyan Keisha,"Menyebalkan vocer penguna baru tidak bisa di pakek,,katanya udh di pakek,pdhl saya penguna baru,terus yang pakek vocer saya siapa😫😫😫😫😵",1,negatif,12 Maret 2021
Teno Tee,"Saya sebagai penjual kecewa, penarikan saldo melalui bank lain selain bank tertentu lama lebih dari satu hari, padahal teknologi udah canggih, yang bermasalah bukan bank nya tapi sistem di shopeenya , karena transfer ke bank manapun sekarang seharusnya REALTIME, tergantung shopeenya mau proses atau tidak",1,negatif,27 Februari 2021
Nana nae,Aplukasi apa sih ini disuruh buat nama uda gue tulis nama tapi katanya tidak tersedi aplikasi tolol mendingan kalian lebih baik nggak usa donwlod aja mendingan nggak usa ada di plastore [plis bapak plastore uinstal aja aplikasi ini],1,negatif,03 Maret 2021
Nurul Hamidah,Makin kesini Shoppe makin gak jelas. Apaan kabanyakan limit. Baru belanja 2 kali udh kena limit harian limit mingguan.,1,negatif,14 Maret 2021
Muhammad Barcha,"Shopee sangat memgecewakan voucher jambore nya sering error padahal produk sudah memenuhi syarat apa lagi hey... kecewa bet, katanya 0rp terus mau check out malah voucher tidak sah aneh bet",1,negatif,13 Maret 2021
Nur Rofa'ah,"Aplikasi g guna, g bisa ngakses nomor, padahal nomor aku masih aktif nomor sehari2 aku pake, tapi g di kirim2 kode OTP, makassih sangat kecewa sma pihak Shoppy",1,negatif,28 Februari 2021
Ramses Pandapotan,Saya gamau ganti bintang kecuali shopee udah kayak dulu!! tau gak sih shopee makin pelit!! gratis ongkir seminggu cuman 7kali woy kelen becanda?!! dah gitu sekarang shopee ga bisa milih ekpedisi. saya pilih reguler biar cepat sampe saya bayar ongkir biar cepat sampe. malah dikasih kepedisi yg paling lama. permainan kelen ga cantik sayang. mentang2 ekpedisi itu yg paling murah itu yg kelen kasih heh lawak shopee.,1,negatif,17 Maret 2021
Login Ml woi,Sumpah shopee makin lama makin gila Karena Saya itu habis beli hp baru terus saya bikin akun gogel baru dan no hp baru saya daftar shopee untuk beli baju batik sama cela jeans untuk adik sya waktu saya cecaout maaf kode voucher ini telah di gunakan mohon pakai voucer lain lah sya kan bingung apa ini kok harus pakai ongkir sih padahal kan sya pengguna baru hadeh shopee shopee duit mulu pikiran lu Akhir nya terpaksa pakai ongkir Mahal lagi ongkirnya sekitarran 40rb kimak kau shopee,1,negatif,03 Maret 2021
Andika Pratama,"Aplikasi penipu, bilangnya baru pertama kali download dapat saldo shopeepay ehh tau taunya gak ada.DASAR APLIKASI PENIPU!!!",1,negatif,13 Maret 2021
Pela Yuliana,"capee pake shopee.. lemot banget padahal apk lain ga lemot saya kira hp saya atau jaringannya yang lemot tp pas keluar dri shopee lancar banget,kecewa tolong diperbaiki shopee ga seperti dlu lagi",1,negatif,10 Maret 2021
Muhamad Yogi,"Apk nya sih baguuss tapi keamanan privasinya kurang🤦🏻‍♂️ barusan akun saya dihack, setelah itu diberi tahu kalo saya menang uang dan harus isi saldo sampe nelpon nelpon berapa kali🤦🏻‍♂️ emang di apknya ada pemberitahuan nya saya menang uang 1jt tapi saldo saya malah kesedot samper akun saya logout sendiri",1,negatif,13 Maret 2021
Love Yourself,SHOPPE TOLONG JELAS KAN KENAPA HARGA ONGKIR LUAR NEGERI LEBIIHH MURAH DARI ONGKIR DI INDONESIA.????? ITUUU KENAPA.,1,negatif,09 Maret 2021
Endang Rosiana,Saya hampir 3th langganan dishope tapi kali ini kecewa... Dg ongkir yg mahal dan pemilihan expedisi pengiriman yg ditentukan oleh shope.. Tolong berikan hak kami untuk memilih karena kami lebih tau yg kita butuhkan dan yg kita inginkan... Jangan ambil keputusan yg memberatkan customer kalian,1,negatif,17 Maret 2021
sofiyan nugroho,"Setelah update ketika pembayaran lewat shopee pay malah ngeblank, katanya promo ongkir 0 rupiah tp malah eror, sama aja boong, tipu tipu lo",1,negatif,25 Februari 2021
Irsak Sidik,Kenapa kode otp no hp untuk login atau untuk daftar shopee pay gk di kirim Ud berulang ulang aku coba tapi tetap sama . mohon penjelasannya,1,negatif,05 Maret 2021
Sarip Arip,"Kenapa di sopy bayak dajal penipuan y saya udh ketipu,mau beli barang makah di batalin sama toko,y tau tau toko ajing ,bilang y punya toko mau antrian owngiriman tau y minta otp saya ,saya brtaya sama cd sopi bilang y akun asli sopy,tiba2 dia membatal kn pesanan saya ,uang y balik ke saldo sopi tpi ad yng tramper rin ke buka warung onlwn ,akun saya tdi y penbeli beru bah jadi penyual,di sopy bayk setan duit y ,penipuan ,sungguh saya ke cewa sma sopi tutup ajh apikasi sopi dari pada bayak korban",1,negatif,03 Maret 2021
sabrang layun,"Payah, masa komplain tiap hari sebagai penjual agar gratis ongkirnya dibenerin ga ada tindakan, Padahal pendaftaran sukses, Ordean tiap hri jg ada",1,negatif,09 Maret 2021
Bee Vip,"Katanya pengguna baru bisa dapet voucher gratis ongkir, ehh voucher gk bisa di pake. Udah nyoba pake 2 nomor tetep gak bisa",1,negatif,11 Maret 2021
Sansan Minisuka,kecewa sih saya sebagai reseller buat makai grtis ongkir dibatasi sekarang ada limit mimgguan 7x doang dlam seminggu. buat apa dkrimin vocher terus tp ga bsa digunakan. sangat mengecewakan shopee pelit sekali,1,negatif,12 Maret 2021
Yuli Yulhanis,Saya pengguna baru shopee tapi baru beli sekali pakai nomor itu malah waktu mau beli lg pakai nomor yang sama gak bisa kecewa deh jadi nya,1,negatif,13 Maret 2021
Hail Hanif,"Mohon maaf karena saya beri rating 1, aplikasi ini terlalu banyak menggunakan memori HP. Setelah diinstal, aplikasi ini bisa menggunakan memori hape sampai 475 MB lebih. Jauh lebih besar dibandingkan dgn akun marketplace lainnya yg menggunakan memori sekitar 150 MB. Selain itu, di HlP saya jg muncul ada file ""sampah"" yang terdeteksi oleh aplikasi pembersih bawaan, & file itu bernama ""shopee bla bla"" bisa sampai beberapa file dgn 1 file besarnya sekitar 250 MB. Mungkin ini hanya saya yg mengalami",1,negatif,06 Maret 2021
Alonk Khan,Sekarang udah semakin jelek apl ini.. mo blanja repot stengah mati.. harganya juga lebih mahal dari lazada dan toko pedia... sory gwe unistal aja..,1,negatif,13 Maret 2021
Aida Fitria S,"Sebenernya suka, tapi lama lama lemot banget parah gila fotonya gak muncul muncul padahal nonton yutub lancar jaya. Butuh sinyal 10G keknya",1,negatif,09 Maret 2021
Virna Firgina,Aku kurangin bintang nya karena shopee sekarang ga bisa pilih jasa kurir yang kita pengen.....setelah di update makin ga nyaman belanja di shopee,1,negatif,17 Maret 2021
Ridho Pandya,saya mesen barang nih dri minggu kmrn sampe sekarang ko msh di kemas aja blm di kirim lama bener perasaan dolo saya beli barang g lama kemudian langsung di kirim hadeuh,1,negatif,10 Maret 2021
Dinda Revalina,Knp shoope jadi gini? Pdhl blm pernah pengguna baru dapet voucher gratis ongkir tp knp ga bisa dipake? Pdhl blm pernah dipake,1,negatif,03 Maret 2021
As Fi,apa kok kasih promo sebulan sekali. pun cuma 1 hari.. toko banyak yg belum free ongkir krn ada tahapan proses .. verif ktp aja susah gagal ae,1,negatif,03 Maret 2021
indah davinsta,"bintang satu ah, shopee gak jelas, udah bener bisa milih jasa expedisi, malah sekarang gk bisa milih, hadeeeh",1,negatif,17 Maret 2021
Putri Amalia Hafsari,Sekarang sistem nya jelek belanja malah mahal di ongkir kalo sistem nya kaya gini mending stop pake Shopee tolong dong kembalikan sistem Shopee yang dulu makin diupgrade malah makin jelek,1,negatif,16 Maret 2021
Muhammad Adam,"Samsung j1 nggak bisa untuk bayar, kalo ke menu profil dan pembayaran cuman ada halaman putih aja.",1,negatif,16 Maret 2021
Renaldy Jumadi,"Sangat kecewa dengan jasa pengiriman shope yg di satukan jadi reguler orng dari luar kota jadi kemahalan ongkirnya, seperti saya dari sulawesi biasanya kalau belanja pakai vocher gak bayar ongkir skrng udh gak bisa, mau di jual kembali jadi susah kasi harga",1,negatif,17 Maret 2021
Josua Sihombing,"Bnar parah shopee nya saya mesan tgl 2 kmrin smpe tgl ini blm juga nyampe,pdhal lokasi tokonya dijakarta,ini lama bnget kayak kriman dari china bikin .marah aplikasi ini smua lelet pelayanan nya gk biasanya bgus sblm nya..",1,negatif,06 Maret 2021
